Algorithm,Target bety,Successful,# Calls,Penalty
PyBOBYQA,0.1,False,4002,0.0001217150834894513
LSQ-TRF,0.1,True,802,5.771346740650092e-19
LS-Dogbox,0.1,True,429,3.864191896267208e-19
Jacobian,0.1,True,444,1.0427628842078703e-15
PyBOBYQA,0.14,False,4002,4.158124742260807e-08
LSQ-TRF,0.14,True,2778,3.7195267694180265e-19
LS-Dogbox,0.14,True,274,9.464529713777241e-19
Jacobian,0.14,True,116,2.398253370259573e-13
PyBOBYQA,0.149,False,4002,8.494143649086655e-11
LSQ-TRF,0.149,False,11002,9.252644548037329e-07
LS-Dogbox,0.149,True,184,4.142095611165491e-19
Jacobian,0.149,True,45,4.793461039376551e-15
PyBOBYQA,0.1499,False,4002,1.1742454968979445e-09
LSQ-TRF,0.1499,False,11002,9.316233060088291e-09
LS-Dogbox,0.1499,True,142,9.179916238851359e-19
Jacobian,0.1499,True,45,1.9367813556266617e-16
PyBOBYQA,0.15,False,4002,1.9121113718410434e-11
LSQ-TRF,0.15,False,576,1.0556389964167627e-14
LS-Dogbox,0.15,True,118,1.8073287825620352e-18
Jacobian,0.15,True,23,6.508225777813863e-17
