Algorithm,Target bety,Successful,# Calls,Penalty,Avg Change knob,Max Change knob
LSQ-TRF,0.1,True,925,6.9855201028816165e-15,7.63295892906104e-05,0.00013621448052689254
LS-Dogbox,0.1,True,361,3.030739120838714e-15,6.632114162191766e-05,0.00012403381524516343
Jacobian,0.1,True,445,4.483468939993321e-15,6.631930459624891e-05,0.00012415474304735673
LSQ-TRF,0.14,False,11002,9.162409174847706e-05,3.6070648426084513e-07,8.648012103495278e-07
LS-Dogbox,0.14,True,230,2.689232048212877e-15,1.3107660337612959e-05,2.8200937281069524e-05
Jacobian,0.14,True,117,1.2110496881063018e-12,1.3107833001662203e-05,2.8207561317723784e-05
LSQ-TRF,0.149,False,11002,9.252402245609095e-07,3.2092398086593033e-08,7.709991673354386e-08
LS-Dogbox,0.149,True,139,4.1088150065081345e-15,1.3144454942581101e-06,2.910648943030454e-06
Jacobian,0.149,True,46,6.232148963350655e-14,1.3144710777106288e-06,2.910700091020811e-06
LSQ-TRF,0.1499,True,7958,4.9254491695204015e-15,1.5790018133202236e-07,3.6575267625959e-07
LS-Dogbox,0.1499,True,142,1.5774495518694447e-15,1.3153313053269242e-07,2.918906929459675e-07
Jacobian,0.1499,True,46,1.0772469628473529e-14,1.3153290538819982e-07,2.918905329385435e-07
LSQ-TRF,0.15,False,205,1.0150465763552387e-12,2.3736713716546384e-11,5.081143058388582e-11
LS-Dogbox,0.15,True,118,1.5200510883221502e-15,4.052314255215279e-10,6.439850519165957e-10
Jacobian,0.15,True,24,2.600823292936182e-15,4.0532365724550104e-10,6.421403443701568e-10
